num_pipeline__Income,num_pipeline__Age,num_pipeline__children,num_pipeline__num_purchases,num_pipeline__expenses,ordinal_pipeline__Education_Level,onehot_pipeline__relationship_in_relationship,onehot_pipeline__relationship_single
0.3192077944800969,1.046311041678554,-1.2779601025723368,1.3328402460931077,1.6870457682325608,1.0,0.0,1.0
-0.25022377043372174,1.3061388204829572,1.3976925022397257,-1.162524552104157,-0.9598296503218651,1.0,0.0,1.0
0.9698004973132074,0.35343696486681186,-1.2779601025723368,0.807500288577894,0.2870317889845909,1.0,1.0,0.0
-1.201272012393396,-1.2921389675610755,0.059866199833694504,-0.8998545733465502,-0.9165474107731764,1.0,1.0,0.0
0.3266914211175093,-1.0323111887566723,0.059866199833694504,0.5448303098202872,-0.3022725494860172,2.0,1.0,0.0
0.5304391915038341,0.18021844566387635,0.059866199833694504,0.9388352779566974,0.18714969771838616,2.0,1.0,0.0
0.1983592946514308,-0.16621859274199466,0.059866199833694504,0.807500288577894,-0.022602693940643834,1.0,0.0,1.0
-0.8725718178933726,-1.3787482271625433,0.059866199833694504,-0.6371845945889434,-0.7234420343251805,2.0,1.0,0.0
-1.0223891950281512,-0.4260463715463979,0.059866199833694504,-1.162524552104157,-0.9282003214209003,2.0,1.0,0.0
-2.215086155182981,1.6525758588888282,1.3976925022397257,-1.6878645096193705,-0.9232062168575901,2.0,1.0,0.0
-2.1256688872314466,-0.5992648907493334,-1.2779601025723368,-1.162524552104157,-0.903229798604349,0.0,1.0,0.0
0.5555455518357982,0.8730925224756184,-1.2779601025723368,0.15082534168387704,0.8297244848643034,1.0,0.0,1.0
0.3779180524871516,1.4793573396858926,1.3976925022397257,0.019490352305073632,-0.48871911984959937,2.0,0.0,1.0
-1.651400084268208,-1.5519667463654787,-1.2779601025723368,-1.2938595414829603,-0.9282003214209003,1.0,1.0,0.0
1.5099252146856754,1.9990128972946992,-1.2779601025723368,1.464175235471911,1.1843059088593302,2.0,0.0,1.0
-0.4672006614565046,-0.9457019291552045,1.3976925022397257,-0.7685195839677468,-0.8449652453657297,1.0,1.0,0.0
-0.6646718417598383,1.9990128972946992,-1.2779601025723368,-0.24317962645253316,-0.4770662092018755,1.0,1.0,0.0
1.2296513267490368,1.739185118490296,0.059866199833694504,1.464175235471911,1.961721519214624,2.0,1.0,0.0
-0.8552870544340587,-1.3787482271625433,0.059866199833694504,-0.8998545733465502,-0.7833712890849034,0.0,0.0,1.0
-0.6994344945271733,-1.1189204483581399,-1.2779601025723368,-0.37451461583133655,-0.47873091072297885,1.0,1.0,0.0
-2.369635115611091,-0.8590926695537366,0.059866199833694504,3.6968700549115687,1.8751570401172466,1.0,1.0,0.0
0.3418518002410415,1.739185118490296,0.059866199833694504,0.2821603310626804,0.6133132871208598,2.0,1.0,0.0
0.6661583816829713,1.3061388204829572,0.059866199833694504,0.6761652991990906,-0.09917896391140081,2.0,1.0,0.0
-0.5232554390438323,1.5659665992873604,0.059866199833694504,0.6761652991990906,-0.26564911602174207,1.0,1.0,0.0
-1.5902757531523104,0.006999926460940838,-1.2779601025723368,-0.8998545733465502,-0.8799239773089013,1.0,0.0,1.0
0.08847068673691061,-0.5992648907493334,1.3976925022397257,-0.11184463707372977,-0.5769483004680802,1.0,1.0,0.0
-0.6357029644537258,-1.7251852655684141,0.059866199833694504,-0.7685195839677468,-0.7867006921271102,1.0,1.0,0.0
1.5977009129231965,0.35343696486681186,-1.2779601025723368,1.464175235471911,1.7786043518932486,2.0,1.0,0.0
-1.957697680318171,-1.7251852655684141,-1.2779601025723368,-0.8998545733465502,-0.9548355457585549,2.0,0.0,1.0
-0.6231497842877437,0.5266554840697474,-1.2779601025723368,-0.50584960521014,-0.47540150768077205,2.0,1.0,0.0
-0.5300631252107687,-0.07960933314052691,0.059866199833694504,-0.7685195839677468,-0.8050124088592477,1.0,1.0,0.0
-0.2373809014946785,1.4793573396858926,1.3976925022397257,0.2821603310626804,-0.5020367320184267,2.0,0.0,1.0
0.8270804951184264,1.9990128972946992,-1.2779601025723368,0.4134953204414838,0.9862064278480241,2.0,1.0,0.0
-0.10320671810520063,1.5659665992873604,1.3976925022397257,-1.162524552104157,-0.8965709925199354,2.0,0.0,1.0
0.7641214684398084,-0.07960933314052691,0.059866199833694504,1.7268452142295179,0.5150958973757584,2.0,1.0,0.0
-1.3426401336472251,-0.5992648907493334,0.059866199833694504,-0.7685195839677468,-0.8699357681822808,0.0,1.0,0.0
-0.439245694856106,-0.33943711194493015,0.059866199833694504,-1.0311895627253536,-0.8932415894777286,1.0,0.0,1.0
1.3752682166744292,-0.9457019291552045,0.059866199833694504,0.807500288577894,1.3174820305476034,1.0,1.0,0.0
-1.4951612726639076,-1.3787482271625433,0.059866199833694504,-1.0311895627253536,-0.9165474107731764,2.0,1.0,0.0
-1.4258773744401219,1.046311041678554,0.059866199833694504,-1.4251945308617637,-0.9681531579273822,1.0,1.0,0.0
-2.1256688872314466,-0.5126556311478657,0.059866199833694504,-0.8998545733465502,-0.9531708442374515,2.0,1.0,0.0
1.3718885143220494,-0.5992648907493334,-1.2779601025723368,0.15082534168387704,0.6332897053741007,1.0,0.0,1.0
-2.1256688872314466,-2.3314500827786886,-1.2779601025723368,-0.6371845945889434,-0.8016830058170409,0.0,1.0,0.0
-0.47309099984208075,0.09360918606240859,0.059866199833694504,-1.2938595414829603,-0.9132180077309695,1.0,1.0,0.0
1.0150402273729198,1.3061388204829572,1.3976925022397257,1.7268452142295179,1.190964714943744,2.0,1.0,0.0
0.6739799785556216,1.046311041678554,0.059866199833694504,0.2821603310626804,-0.16077292019222708,1.0,0.0,1.0
1.3333599075049196,0.4400462244682796,-1.2779601025723368,1.8581802036083213,1.8135630838364203,2.0,1.0,0.0
-0.759786322248241,-0.6858741503508012,0.059866199833694504,-1.0311895627253536,-0.8849180818722115,1.0,0.0,1.0
1.4993998559311212,-0.6858741503508012,-1.2779601025723368,0.807500288577894,1.6870457682325608,1.0,0.0,1.0
0.7168056355064913,-0.7724834099522689,1.3976925022397257,1.0701702673355007,0.004032530397010766,1.0,1.0,0.0
1.4898401264201042,1.2195295608814893,-1.2779601025723368,1.5955102248507145,2.253044285407721,2.0,1.0,0.0
0.9057792784666987,0.2668277052653441,-1.2779601025723368,0.807500288577894,0.8147421711743726,1.0,0.0,1.0
-1.1388923632609005,-1.6385760059669465,0.059866199833694504,-1.162524552104157,-0.9565002472796583,1.0,0.0,1.0
0.2137610810858473,0.09360918606240859,0.059866199833694504,0.5448303098202872,-0.14246120346008953,2.0,1.0,0.0
1.1708445058176284,-1.1189204483581399,-1.2779601025723368,0.807500288577894,1.38906419595505,2.0,0.0,1.0
0.7303244449160106,-0.5126556311478657,1.3976925022397257,0.9388352779566974,0.014020739523631242,1.0,1.0,0.0
0.49712498260180465,1.4793573396858926,0.059866199833694504,1.2015052567143043,0.46681955326375946,1.0,0.0,1.0
0.7799095065716398,1.5659665992873604,0.059866199833694504,0.5448303098202872,0.004032530397010766,2.0,0.0,1.0
0.9240779526317265,1.8257943780917636,-1.2779601025723368,0.15082534168387704,0.7864422453156147,1.0,1.0,0.0
-1.2459323649069862,-0.16621859274199466,0.059866199833694504,-1.2938595414829603,-0.9481767396741412,1.0,1.0,0.0
-0.9198876508266897,0.18021844566387635,1.3976925022397257,-1.4251945308617637,-0.9864648746595197,1.0,1.0,0.0
1.7703554216676272,-0.8590926695537366,0.059866199833694504,2.252185171744731,1.1160531464940904,0.0,0.0,1.0
0.8482760570140654,0.9597017820770861,0.059866199833694504,0.4134953204414838,0.08227350188887116,1.0,1.0,0.0
1.1262807162283919,-0.07960933314052691,2.735518804645757,0.5448303098202872,1.5954871845718732,1.0,1.0,0.0
0.7466435791317872,1.3061388204829572,-1.2779601025723368,0.807500288577894,1.0810944145509187,2.0,1.0,0.0
0.652011913265153,0.8730925224756184,0.059866199833694504,1.9895151929871246,0.4318608213205878,1.0,1.0,0.0
0.43957347968699445,-0.5126556311478657,1.3976925022397257,1.2015052567143043,0.09559111405769846,2.0,1.0,0.0
-1.11986946716322,1.4793573396858926,-1.2779601025723368,-0.8998545733465502,-0.8965709925199354,1.0,1.0,0.0
